Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	N_ul	N_16	N_16C9	N_17
DG 39:7;Y	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	1	0	0	1
DG 39:6;Y	2.6	3.3	3.1	2.6	2.8	2.9	3.2	2.8	2.5	3.1	2.9	1.9	1	0	0	1
DG 39:5;Y	0.9	1.1	0.9	0.8	1.0	0.8	1.0	1.0	0.7	0.8	1.1	0.6	1	0	0	1
DG 39:4;Y	0.3	0.3	0.4	0.3	0.3	0.3	0.3	0.3	0.2	0.3	0.2	0.2	1	0	0	1
TG 46:2;Y	0.8	1.1	1.0	0.9	1.0	1.0	1.1	1.0	0.8	1.1	1.0	0.7	2	1	0	0
TG 46:1;Y	4.5	5.0	5.1	4.2	4.7	5.3	5.6	4.5	4.6	5.4	5.6	3.1	2	1	0	0
TG 46:0;Y	3.9	4.2	3.8	3.9	4.1	4.3	5.0	3.9	3.4	4.7	4.9	2.7	2	1	0	0
TG 48:2;Y	9.1	10.9	10.4	8.2	9.4	10.2	10.3	10.1	9.5	9.9	11.1	6.7	2	1	0	0
TG 48:1;Y	37.8	40.1	40.0	33.6	38.4	41.7	46.3	38.9	39.8	43.4	45.7	26.7	2	1	0	0
TG 48:0;Y	28.6	25.6	32.4	26.6	33.6	36.1	38.5	26.5	29.9	33.9	40.0	18.1	2	1	0	0
TG 50:6;Y	0.1	0.1	0.2	0.1	0.1	0.2	0.1	0.1	0.1	0.2	0.1	0.1	2	1	0	0
TG 50:5;Y	0.3	0.3	0.5	0.3	0.3	0.4	0.3	0.3	0.3	0.4	0.5	0.4	2	1	0	0
TG 50:4;Y	1.2	1.5	2.0	1.2	1.2	1.4	1.4	1.2	1.3	1.6	1.7	1.3	2	1	0	0
TG 50:3;Y	8.1	9.8	8.9	7.6	8.1	8.2	9.1	8.0	7.3	8.4	8.9	6.0	2	1	0	0
TG 50:2;Y	34.0	41.7	38.5	31.6	38.2	37.7	40.8	36.2	34.0	38.7	41.2	25.9	2	1	0	0
TG 50:1;Y	73.9	81.0	78.2	69.8	73.5	75.6	93.0	73.3	72.7	88.1	83.1	50.8	2	1	0	0
TG 52:7;Y	0.1	0.0	0.1	0.1	0.1	0.1	0.0	0.1	0.0	0.1	0.1	0.0	2	1	0	0
TG 52:6;Y	0.5	0.7	0.5	0.4	0.5	0.5	0.6	0.4	0.5	0.6	0.5	0.4	2	1	0	0
TG 52:5;Y	1.4	1.6	1.6	1.3	1.3	1.4	1.7	1.2	1.3	1.6	1.5	1.1	2	1	0	0
TG 52:4;Y	7.8	8.8	8.4	7.5	7.6	8.0	9.4	6.3	7.1	8.5	7.6	6.1	2	1	0	0
TG 52:3;Y	8.5	10.5	9.6	8.1	9.5	9.7	10.4	7.9	8.4	9.9	8.9	6.5	2	1	0	0
TG 52:2;Y	14.7	18.4	16.9	14.0	15.5	15.8	19.5	15.0	14.5	17.7	16.7	11.7	2	1	0	0
TG 52:1;Y	4.1	4.3	3.5	3.4	4.1	3.6	5.0	3.7	3.0	4.4	3.9	2.2	2	1	0	0
TG 54:9;Y	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	2	1	0	0
TG 54:8;Y	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.0	0.0	0.1	0.1	0.0	2	1	0	0
TG 54:7;Y	1.4	1.5	1.4	1.2	1.3	1.2	1.5	1.1	1.1	1.4	1.3	0.9	2	1	0	0
TG 54:6;Y	5.4	6.7	5.7	5.0	5.9	5.4	6.7	5.3	5.1	6.3	6.2	4.0	2	1	0	0
TG 54:5;Y	4.4	5.4	4.3	3.9	4.6	4.2	5.6	4.2	3.6	5.1	4.5	3.1	2	1	0	0
TG 54:4;Y	2.9	3.2	3.4	3.0	3.0	3.0	3.7	2.9	2.8	3.6	3.1	2.3	2	1	0	0
TG 54:3;Y	1.3	1.5	1.6	1.2	1.2	1.4	1.7	1.3	1.2	1.6	1.2	1.0	2	1	0	0
TG 54:2;Y	2.1	2.7	2.2	1.7	2.2	2.1	2.6	2.2	1.8	2.2	2.3	1.4	2	1	0	0
TG 54:1;Y	0.5	0.6	0.6	0.4	0.6	0.5	0.5	0.4	0.4	0.5	0.4	0.3	2	1	0	0
TG 56:9;Y	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	2	1	0	0
TG 56:8;Y	0.7	0.7	0.7	0.6	0.7	0.7	1.0	0.6	0.6	1.0	0.6	0.5	2	1	0	0
TG 56:7;Y	2.4	2.7	2.5	2.4	2.5	2.2	2.8	2.0	2.1	2.6	2.1	1.8	2	1	0	0
TG 56:6;Y	1.4	1.6	1.6	1.5	1.4	1.5	1.9	1.3	1.4	1.6	1.6	1.1	2	1	0	0
TG 56:5;Y	1.0	1.1	1.0	0.7	0.7	0.8	1.2	0.8	0.7	1.0	1.0	0.6	2	1	0	0
TG 56:4;Y	0.3	0.4	0.4	0.3	0.3	0.3	0.4	0.3	0.3	0.4	0.4	0.3	2	1	0	0
TG 56:3;Y	0.3	0.3	0.2	0.2	0.3	0.2	0.3	0.2	0.2	0.3	0.2	0.2	2	1	0	0
TG 56:2;Y	0.5	0.4	0.4	0.4	0.4	0.3	0.5	0.4	0.4	0.4	0.4	0.3	2	1	0	0
TG 56:1;Y	0.2	0.2	0.2	0.1	0.2	0.1	0.2	0.2	0.1	0.2	0.2	0.1	2	1	0	0
TG 46:1;Y	2.5	2.6	2.5	2.3	2.5	2.6	2.9	2.4	2.3	2.9	2.8	1.8	2	0	1	0
TG 46:0;Y	1.5	1.6	1.7	1.5	1.8	1.9	2.1	1.6	1.6	1.7	2.0	1.2	2	0	1	0
TG 48:2;Y	7.1	7.1	6.6	6.4	6.4	6.3	8.4	6.2	5.6	7.7	7.2	4.3	2	0	1	0
TG 48:1;Y	23.4	24.7	21.3	20.9	26.3	23.8	27.2	24.0	20.6	26.0	28.5	14.0	2	0	1	0
TG 48:0;Y	10.8	10.1	9.6	9.8	12.3	11.8	14.2	9.3	9.6	12.3	14.1	6.6	2	0	1	0
TG 50:6;Y	0.1	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.1	2	0	1	0
TG 50:5;Y	0.3	0.4	0.4	0.2	0.4	0.3	0.4	0.2	0.3	0.5	0.3	0.2	2	0	1	0
TG 50:4;Y	1.0	1.0	0.9	0.8	0.9	0.9	1.1	1.1	0.8	1.0	1.0	0.7	2	0	1	0
TG 50:3;Y	7.0	8.0	6.5	6.2	7.0	6.4	7.5	6.1	5.2	7.2	6.4	4.7	2	0	1	0
TG 50:2;Y	44.2	48.4	42.3	39.1	45.3	44.8	51.0	40.7	38.2	47.8	44.1	29.9	2	0	1	0
TG 50:1;Y	53.2	66.3	60.4	47.7	64.6	61.2	67.0	59.8	56.3	59.3	65.7	40.2	2	0	1	0
TG 52:6;Y	0.7	0.8	0.5	0.6	0.8	0.5	0.8	0.6	0.5	0.8	0.6	0.5	2	0	1	0
TG 52:5;Y	2.0	1.9	1.6	1.6	1.9	1.6	2.4	1.5	1.3	2.1	1.7	1.2	2	0	1	0
TG 52:4;Y	6.2	6.4	5.2	5.4	5.8	5.5	6.8	5.1	4.9	6.7	5.5	4.1	2	0	1	0
TG 52:3;Y	9.6	11.6	8.4	8.9	10.6	9.1	11.7	8.7	7.2	10.8	8.9	6.1	2	0	1	0
TG 52:2;Y	13.8	17.5	13.7	12.5	16.5	13.5	16.6	14.7	11.9	15.5	15.6	9.7	2	0	1	0
TG 52:1;Y	1.6	1.9	1.7	1.5	1.9	1.6	1.7	1.2	1.3	2.0	1.8	1.0	2	0	1	0
TG 54:8;Y	0.1	0.1	0.0	0.1	0.1	0.0	0.1	0.1	0.0	0.1	0.0	0.0	2	0	1	0
TG 54:7;Y	1.5	1.6	1.5	1.4	1.7	1.4	1.8	1.5	1.1	1.8	1.5	1.1	2	0	1	0
TG 54:6;Y	6.5	6.8	5.8	5.8	6.4	5.7	7.3	5.2	4.8	7.3	5.9	4.0	2	0	1	0
TG 54:5;Y	4.1	4.4	3.7	3.5	3.9	3.7	5.0	3.4	3.2	4.4	3.8	2.7	2	0	1	0
TG 54:4;Y	2.6	3.0	2.7	2.2	2.7	2.8	2.9	2.2	2.0	2.8	2.6	1.9	2	0	1	0
TG 54:3;Y	1.1	1.3	1.0	1.0	1.0	1.0	1.2	0.9	0.8	1.1	1.0	0.9	2	0	1	0
TG 54:2;Y	1.5	1.6	1.5	1.4	1.4	1.4	1.6	1.2	1.3	1.6	1.4	1.0	2	0	1	0
TG 54:1;Y	0.5	0.5	0.4	0.4	0.4	0.5	0.5	0.4	0.3	0.5	0.4	0.3	2	0	1	0
TG 56:9;Y	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	2	0	1	0
TG 56:8;Y	0.7	0.7	0.6	0.6	0.7	0.5	0.9	0.5	0.4	0.8	0.5	0.4	2	0	1	0
TG 56:7;Y	2.2	2.4	2.1	2.1	2.3	1.9	2.7	1.9	1.8	2.4	2.1	1.3	2	0	1	0
TG 56:6;Y	1.4	1.6	1.4	1.2	1.3	1.4	1.8	1.0	1.1	1.5	1.2	1.0	2	0	1	0
TG 56:5;Y	0.8	1.0	0.7	0.6	0.7	0.7	0.9	0.6	0.6	0.9	0.7	0.6	2	0	1	0
TG 56:4;Y	0.2	0.3	0.3	0.2	0.3	0.2	0.3	0.2	0.2	0.3	0.3	0.2	2	0	1	0
TG 56:3;Y	0.2	0.2	0.2	0.2	0.2	0.2	0.3	0.2	0.1	0.3	0.2	0.1	2	0	1	0
TG 56:2;Y	0.3	0.4	0.4	0.3	0.3	0.3	0.4	0.3	0.3	0.4	0.3	0.3	2	0	1	0
TG 56:1;Y	0.1	0.1	0.1	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.1	2	0	1	0
TG 47:2;Y	2.6	2.8	2.5	2.3	2.7	2.6	3.1	2.4	2.2	2.7	2.5	1.6	2	0	0	1
TG 47:1;Y	7.9	8.2	7.7	7.0	8.4	8.4	9.4	7.8	7.3	8.6	8.7	5.0	2	0	0	1
TG 47:0;Y	6.4	6.5	6.3	5.8	7.5	7.4	8.2	6.1	6.1	6.9	7.7	4.4	2	0	0	1
TG 49:6;Y	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	2	0	0	1
TG 49:2;Y	15.7	16.5	14.4	13.7	15.9	15.4	18.3	14.0	12.9	16.6	15.3	9.3	2	0	0	1
TG 49:1;Y	42.1	42.5	42.2	39.1	43.8	45.1	52.7	39.4	37.6	48.2	44.5	26.4	2	0	0	1
TG 49:0;Y	12.4	17.9	15.5	14.3	22.6	19.1	26.6	15.9	18.3	21.2	24.0	9.0	2	0	0	1
TG 51:6;Y	0.4	0.3	0.7	0.3	0.4	0.4	0.4	0.3	0.3	0.8	0.5	0.5	2	0	0	1
TG 51:5;Y	0.7	0.7	1.6	0.7	0.8	0.8	0.7	0.6	0.8	1.5	1.0	1.1	2	0	0	1
TG 51:4;Y	1.8	2.2	1.8	1.7	1.8	1.7	2.2	1.5	1.3	1.9	1.6	1.1	2	0	0	1
